48	18 469| 910 , | 4967
48	18 469| 910 , 4 , 2361 , 26 , | 2017
48	18 469| 26 , | 18 297 4 153995
48	18 469| 910 , 149 1318 136 , | 18 10559
48	18 469| 910 , 4 , 2361 , | 2581
48	18 469| 910 , 4 , 2361 , 49 , | 957 1497
49	18 222 216| 363 , | 153997 26 23150
49	18 222 216| 363 , | 153996 26 8820
51	1690 135555| 4 , | 13481 15615
52	3910 4124| 26 , | 2298 256
52	44577| | 3910 4124
52	7 154000 7656 7208| 1020 , | 44577
52	176 7 1226| 2604 , 26 , | 11041
52	176 7 1226| 258 , | 18 28722 4 11042
52	176 7 1226| 5321 , | 13303
53	18 5472| 1326 , 28 , 18 , | 25127
53	18 5472| 1326 , | 1786 49 1755
54	1082 4 245 9801| 26 , | 960 1359
54	4132| 149 , 14782 , 136 , | 1082 4 245 9801
54	1145 11825 412| 1641 , | 2270 154003
54	1145 11825 412| 1641 , | 4132
54	4132| 4 , | 5311 1721
54	4132| 149 , 14782 , | 18 77 11892
56	154009| 26 , | 3699
56	639| 5935 , 26 , | 61040
56	639| 5935 , 136 , | 204
56	639| 5935 , | 8277 933
57	7427 7428| 10 , 4366 , 1262 , 483 , | 1755
57	7427 7428| 10 , 4366 , 1262 , 26 , | 6447 1078
58	17429| 4 , | 47722
58	253| 10 , 2193 , | 1291 6927 1583 11209
58	253| 10 2193 6 , | 4013
58	19291 11209| 4 , | 4317
58	1291 6927 1583 11209| 4 , | 27180 409
59	7 6507 228 720| 132 , | 3212 2438 26 848
59	7 6507 228 720| 4 , | 225
59	18 2692 10| | 7 6507 228 720
59	18 2692 10| 28 , | 3212 381
62	3087 745| 10 , 42 , 1481 , | 1919 1790
62	3087 745| 557 , | 23820
63	245 1763| 42 , 347 , 149 , | 18 904 1773
63	245 1763| 42 , 347 , 13 , | 1755
63	245 1763| | 1761 6626
63	245 1763| | 18 3885 2117
63	245 1763| 49 , | 1786
63	245 1763| 42 , 347 , 1364 , | 7 145 3877
64	338 609| 1880 , 338 , 434 , | 18 3056
64	470| 26 , 4 , 606 , 609 , 258 , 1422 , 49 , 132 , | 338 609
64	470| 26 , | 18 261 4 19516
65	2017| 132 , | 18 5524
65	2017| 136 , | 7 826 875
66	9373 57085| 26 , | 16153 1589
66	667 488| 7613 , | 12842 3660 26 1870
66	667 488| 7613 , | 224 658
67	384| 12610 , 28 , | 18 22460 4919
67	7 4434| 49 , | 154012
68	3471| 1993 , 149 , 8871 , 776 , 42 , 26 , | 3704 335
69	1510 954 18616| 694 , 2595 , 136 , | 18 1805 3590
70	253 586 1102| 1102 , | 1665 1763
70	253 586 1102| 1102 , 13 , | 615 4 18 1761 1776
70	245 2988| | 253
70	245 2988| | 303 1666
70	303 1666| 6 , 1770 , 362 , | 253 586 1102
70	3992| 362 , 13 , | 3480 12028 4212
71	1772| 427 , 216 121 149 , | 7343 154014
71	1755| 6268 , 216 , 17282 , | 7 5432
71	1755| 6268 , 216 , 17282 , | 1786
71	1755| 6268 , | 2456 2139
72	154015| 28 , | 39818 6189 54032 26 315
72	18 885 4 2456| 10 , 1306 , | 18 1428
72	18 885 4 2456| 10 , 1306 , 951 , | 4450
72	18 885 4 2456| 10 1306 149 , | 18 8703
72	18 885 4 2456| 10 , 1306 , 4 , | 18 3083 716
72	18 885 4 2456| 10 , 1306 , | 402 709
72	18 885 4 2456| 10 , 1306 , 231 , | 7 23970 10704
73	253| 869 649 , 42 , 26 , | 1872 42 2037
73	253| 869 649 , 42 , | 9337 1744
73	253| 869 649 , 42 , | 154016
73	253| 869 649 , 42 , 4 , | 33943
73	253| | 2017
73	253| 2908 , | 343 963
73	253| 2908 , 4 , | 13696
73	253| 869 649 , 42 , | 7 816 3479
74	14709 12462 2123| 4 , | 20687
74	12707 109572| 4 , | 3378
74	6180 19778| 4 , | 4384 531
